epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
146,28096.2,0.01513,0.98853,0.99882,0.05725,1.53684e-05,1.53684e-05,1.53684e-05
147,28307.8,0.01759,0.98824,0.99882,0.05728,1.50261e-05,1.50261e-05,1.50261e-05
148,28519.4,0.0157,0.98824,0.99882,0.05735,1.44147e-05,1.44147e-05,1.44147e-05
149,28730.5,0.01603,0.98853,0.99882,0.05741,1.40706e-05,1.40706e-05,1.40706e-05
150,28943.7,0.0162,0.98853,0.99882,0.05736,1.37265e-05,1.37265e-05,1.37265e-05
151,29154.7,0.01486,0.98882,0.99882,0.05727,1.33824e-05,1.33824e-05,1.33824e-05
152,29365.5,0.01614,0.98882,0.99882,0.0572,1.30382e-05,1.30382e-05,1.30382e-05
153,29576.6,0.01396,0.98882,0.99882,0.05722,1.26941e-05,1.26941e-05,1.26941e-05
154,29787.6,0.01418,0.98853,0.99882,0.0575,1.235e-05,1.235e-05,1.235e-05
155,29998.6,0.01575,0.98853,0.99882,0.05727,1.20059e-05,1.20059e-05,1.20059e-05
156,30209.7,0.01384,0.98853,0.99882,0.05729,1.16618e-05,1.16618e-05,1.16618e-05
157,30420.7,0.01347,0.98853,0.99882,0.05736,1.1029e-05,1.1029e-05,1.1029e-05
158,30632.1,0.01442,0.98882,0.99882,0.05738,1.06831e-05,1.06831e-05,1.06831e-05
159,30843.1,0.0143,0.98853,0.99882,0.05744,1.03371e-05,1.03371e-05,1.03371e-05
160,31054.1,0.01438,0.98853,0.99882,0.05772,9.99113e-06,9.99113e-06,9.99113e-06
161,31265.3,0.01382,0.98853,0.99882,0.05749,9.64516e-06,9.64516e-06,9.64516e-06
162,31475.2,0.01241,0.98853,0.99882,0.05748,9.29919e-06,9.29919e-06,9.29919e-06
163,31686.5,0.01493,0.98853,0.99882,0.05745,8.95323e-06,8.95323e-06,8.95323e-06
164,31897.5,0.0106,0.98853,0.99882,0.0574,8.60726e-06,8.60726e-06,8.60726e-06
165,32109,0.01286,0.98853,0.99882,0.05744,8.26129e-06,8.26129e-06,8.26129e-06
166,32319.9,0.01398,0.98853,0.99882,0.05755,7.60676e-06,7.60676e-06,7.60676e-06
167,32531,0.01315,0.98853,0.99882,0.05736,7.25892e-06,7.25892e-06,7.25892e-06
168,32741.7,0.0117,0.98853,0.99882,0.05737,6.91108e-06,6.91108e-06,6.91108e-06
169,32952.4,0.01184,0.98853,0.99882,0.05733,6.56324e-06,6.56324e-06,6.56324e-06
170,33163.2,0.01036,0.98853,0.99912,0.05737,6.21541e-06,6.21541e-06,6.21541e-06
171,33374.3,0.0111,0.98853,0.99912,0.0574,5.86757e-06,5.86757e-06,5.86757e-06
172,33584.1,0.01162,0.98853,0.99912,0.05745,5.51973e-06,5.51973e-06,5.51973e-06
173,33795.2,0.0105,0.98853,0.99912,0.05866,5.17189e-06,5.17189e-06,5.17189e-06
174,34006.3,0.01377,0.98853,0.99912,0.05776,4.82405e-06,4.82405e-06,4.82405e-06
175,34217.2,0.01377,0.98824,0.99912,0.05787,4.47622e-06,4.47622e-06,4.47622e-06
176,34453.5,0.01034,0.98824,0.99912,0.05761,4.12838e-06,4.12838e-06,4.12838e-06
177,34664.7,0.01185,0.98824,0.99912,0.05764,3.44783e-06,3.44783e-06,3.44783e-06
178,34876,0.01079,0.98824,0.99912,0.05765,3.0981e-06,3.0981e-06,3.0981e-06
179,35087.3,0.00997,0.98824,0.99912,0.05777,2.74837e-06,2.74837e-06,2.74837e-06
180,35298.6,0.0106,0.98824,0.99912,0.05783,2.39864e-06,2.39864e-06,2.39864e-06
181,35510,0.01141,0.98824,0.99912,0.05779,2.04891e-06,2.04891e-06,2.04891e-06
182,35721.2,0.01153,0.98824,0.99912,0.0578,1.69918e-06,1.69918e-06,1.69918e-06
183,35932.4,0.0109,0.98824,0.99912,0.05788,1.34946e-06,1.34946e-06,1.34946e-06
184,36013.1,0.01304,0.98824,0.99912,0.05792,9.99728e-07,9.99728e-07,9.99728e-07
